/home/user/ws/doc.go:2:1 - Unknown word (Wslint) Suggestions: [Eslint, Jslint, Tslint, Waling, Wiling]
/home/user/ws/doc.go:6:2 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/doc.go:14:43 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/checkers/blanks_test.go:6:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/checkers/blanks_test.go:8:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/checkers/blanks_test.go:8:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/checkers/ws_test.go:6:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/checkers/ws_test.go:8:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/checkers/ws_test.go:8:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/checkers/ws.go:6:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/checkers/ws.go:6:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/common_test.go:9:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/linter/common_test.go:11:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/linter/common_test.go:11:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/doc.go:9:9 - Unknown word (Idelchi) Suggestions: [Delphi, delhi, Delhi, idec, Idec]
/home/user/ws/internal/linter/doc.go:10:9 - Unknown word (Idelchi) Suggestions: [Delphi, delhi, Delhi, idec, Idec]
/home/user/ws/internal/linter/file_test.go:7:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/linter/file_test.go:9:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/linter/file_test.go:9:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/formatter_test.go:7:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/linter/formatter_test.go:9:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/linter/formatter_test.go:9:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/linter_test.go:6:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/linter/linter_test.go:7:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/internal/linter/linter_test.go:9:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/linter/linter_test.go:9:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/linter_test.go:10:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/linter/linter_test.go:10:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/linter.go:10:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/internal/linter/linter.go:10:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/internal/linter/linter.go:13:30 - Unknown word (analyzer) Suggestions: [analyze, analyser, analysers, analysed, analyses]
/home/user/ws/internal/linter/linter.go:133:3 - Unknown word (nolint) Suggestions: [online, noland, nolan, norina, nosing]
/home/user/ws/internal/linter/linter.go:133:10 - Unknown word (cyclop) Suggestions: [cyclops, cycloid, cyclone, cycled, cycler]
/home/user/ws/main.go:14:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/main.go:14:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/main.go:15:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
/home/user/ws/main.go:15:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/main.go:18:3 - Unknown word (nolint) Suggestions: [online, noland, nolan, norina, nosing]
/home/user/ws/main.go:18:10 - Unknown word (gochecknoglobals) Suggestions: []
/home/user/ws/main.go:22:15 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/main.go:23:22 - Unknown word (wslint) Suggestions: [eslint, jslint, tslint, waling, wiling]
/home/user/ws/main.go:240:10 - Unknown word (Idelchi) Suggestions: [Delphi, delhi, Delhi, idec, Idec]
/home/user/ws/main.go:244:9 - Unknown word (Idelchi) Suggestions: [Delphi, delhi, Delhi, idec, Idec]
/home/user/ws/matcher/matcher_test.go:9:14 - Unknown word (stretchr) Suggestions: [stretchy, stretcher, stretch, stretchers, stretched]
/home/user/ws/matcher/matcher_test.go:11:14 - Unknown word (idelchi) Suggestions: [delphi, delhi, Delhi, idec, delphic]
